ARIN Emulator;ARINEmulator
Phone Book;PhoneBook

Phone Book: American Data Model;PhoneBookAmerican

Phone Book: European Data Model;PhoneBookEuro

Planning Facade;planning-facade

Platform Abstraction Layer;platform-abstraction-layer

Platform Data Transport;platform-data-transport

Platform utils;PlatformUtils

Policy Counter Control;policy-counter-control

Policy Framework;PolicyFramework

Policy Management Core;policy-management-core

Policy Management Extras;policy-management-extras

Policy Management Server;policy-management-server

Policy Management UI;policy-management-ui

Portal Authentication;portal-authentication

Portal Framework;portal-framework

Portal UI Library;portal-ui-library

Portal utils;portal-utils

PostgreSQL Logical Decoding;postgresql-logical-decoding

PostgreSQL Service;pg-service

Postgres Backup Daemon;postgres-backup-daemon

Power Management and Cooling;PM_Cooling

Pretty Core;Pretty_Core

Process Activity View;process-activity-view

Process Management Views;process-management-views

Process Orchestrator;ProcessOrchestrator

Process Orchestrator Monitoring;OrchestratorMonitoring

Product Catalog;product-catalog

Product Catalog Importer;product-catalog-importer

Product Inventory;product-inventory

Product Lifecycle Management;product-lifecycle-management

Product Lifecycle Management. RBM integration;product-lifecycle-management-rbm-integration

Product Offering Catalog;product-offering-catalog

Product Offering Catalog Loader;product-offering-catalog-loader

Product Offering Catalog UI;product-offering-catalog-ui

Product Offering Catalog UI. BAIP Extension;product-offering-catalog-ui-baip-extension

Product Offering Catalog UI. Loyalty Management Extension;product-offering-catalog-ui-lmgt-extension

Product Offering Catalog UI. PLM Extension;product-offering-catalog-ui-plm-extension

Product Offering Catalog. Accelerated Mode;product-offering-catalog-accelerated-mode

Product Order Management;POM

Products/Services Catalog Characteristics Extension;PSCatalogCharacteristics

Profiler;Profiler

Provisioning;Provisioning

QueryBuilder;QueryBuilder

Queue Service;QueueService

Quota Cache Manager;quota-cache-manager

RBM Entity and Service Adapter;rbm-entity-and-service-adapter

RBM Product Offering Catalogue extension;rbm-product-offering-catalogue-extension

RDB light;RDBLight

RDB. DWDM Configuration;rdb-dwdm-configuration

RDB. Generic Resource Inventory Configuration;rdb-ri-configuration

RDB. IP/MPLS/Metro Ethernet Configuration;rdb-ip-mpls-eth-configuration

RDB. Microwave Configuration;rdb-mw-configuration

RDB. Mobile Core Configuration;rdb-mobile-core-configuration

RDB. Mobile RAN Configuration;rdb-mobile-ran-configuration

RDB. OSP Configuration;rdb-osp-configuration

RDB. SDH/PDH Configuration;rdb-sdhpdh-configuration

RDB. WFM Configuration;wfm-rdb-oob

REST Framework;rest-framework

RI Configuration;RIConfiguration

RI Operations Framework;ri-operations-framework

RMI Call Router;rmi-call-router

RMS Cassandra Connection Client;rms-cassandra-connection-client

RMS Datasource Manager;rms-datasource-manager

RMS Diameter Interface Generator;rms-diameter-interface-generator

RMS Encryption Service;rms-encryption-service

RMS Event Mapping Service;rms-event-mapping-service

RMS KPI Enricher;rms-kpi-enricher

RMS Kafka Messaging;rms-kafka-messaging

RMS Online Service Data Loader;rms-online-service-data-loader

RMS Online Service Data Manager;rms-online-service-data-manager

RMS SMART Installer;rms-smart-installer

RMS utils;rms-utils

RTF API;rtf-api

RTF Administration Console;rtf-admin-console

RTF Alarm Management;RTF_Alarm

RTF Autoinstaller;rtf-autoinstaller

RTF Bootstrap;rtf-bootstrap

RTF Caching;rtf-caching

RTF Cluster;rtf-cluster

RTF Component Test Container;RTF_TestContainer

RTF Configuration Management;RTF_Configuration

RTF Core;RTF_Core

RTF Core utils;RTF_Core_Utils

RTF DB Management;RTF_DB_Service

RTF DB Management. Oracle Support;rtf-db-mgmt-oracle-support

RTF Data Synchronization FRW Side;RTF_DataSync_FRWSide

RTF Data Synchronization RTF Side;RTF_DataSync_RTFSide

RTF Encryption;rtf-encryption

RTF HA Agent;rtf-ha-agent

RTF Health Check;rtf-health-check

RTF JMS Management;RTF_JMS_Mgmt

RTF JMS Management. HornetQ Support;rtf-jms-mgmt-hornetq-support

RTF JMS Management. Weblogic Support;rtf-jms-mgmt-weblogic-support

RTF KPI Aggregator;rtf-kpi-aggregator

RTF KPI Management;RTF_KPI

RTF Logger;RTF_Logger

RTF Memory Grid Management;rtf-memory-grid-management

RTF Node Agent;rtf-node-agent

RTF Overload Management;rtf-overload-management

RTF REST;rtf-rest

RTF Remote Messaging;rtf-remote-messaging

RTF Runtime;RTF_Runtime

RTF Runtime Manager;rtf-runtime-manager

RTF SDK;rtf-sdk

RTF Security;rtf-security

RTF Shell Karaf;RTF_Shell_Karaf

RTF Spring Integration;rtf-spring-integration

RTF Timer Management;RTF_Timer

RTF utils;RTF_Utils

RTF Web Container;rtf-web-container

RTF Web Services;rtf-web-services

RTRI Integration Adapter;rtri-integration-adapter

Radio Controller View;radio-controller-view

Rating Catalog;rating-catalog

Rating Engine;RatingEngine

Rating Event Bus;rating-event-bus

Realtime Notification Gateway;realtime-notification-gateway

Reconciliation Engine;Reconciliation

Reference Selector;ReferenceSelector

Replicated Database;RDB

Reports Engine;ReportsEngine

Reports Scheduler;reports-scheduler

Reports UI;reports-ui

Repository of Customers;repository-of-customers

Residential Order Entry;residential-order-entry

Residential Order Entry BAIP Integration;residential-order-entry-baip-integration

Residential Order Entry. Asset Ordering;residential-order-entry-asset-ordering

Resource Assignment and Reservation;RAR

Resource Caching Manager;resource-caching-manager

Resource Group Manager;ResourceGroupManager

Resource Inventory;ResourceInventory

Resource Inventory Replicated Database;RI_RDB

Resource Orchestration Client;resource-orchestration-client

Resource Order Management;ResourceOrderManagement

Rhino Eclipse RDT Plug-in;RhinoEclipseRDT_Plugin

Role Openshift Monitoring;role-openshift-monitoring

Role Openshift Monitoring Heapster;role-openshift-monitoring-heapster

Role Openshift Monitoring Telegraf;role-openshift-monitoring-telegraf

Role Openshift Platform Openstack;role-openshift-platform-openstack

Role Openshift Post Install;role-openshift-post-install

Role Openshift Pre Install;role-openshift-pre-install

Role Openshift Separate Balancers;role-openshift-separate-balancers

Role-Based Access Control;role-based-access-control

Rule Engine;NWPLEngine

Rule Engine Core;rule-engine-core

Rule Engine UI;rule-engine-ui

Rule Engine Visualization API;RuleEngineVisualizationAPI

S3 to SSH;s3tossh

SDH Circuit Designer;sdh-circuit-designer

SDH Network View;sdh-network-view

SDH/PDH;SDH

SDH/PDH Configuration;SDHPDHConfiguration

SDN RTF Platform AU;sdn-rtf-platform-au

SIAE NMS5-UX Integration;SIAE_NMS5UX

SLA Computation Library. Correlation;sla-computation-library-correlation

SLA Management;SLAManagement

SLA Trouble Ticketing;sla-trouble-ticketing

SM Operational UI;sm-operational-ui

SMART Engine Common VPAs;smart-engine-common-vpas

SMART Engine Commons;smart-engine-commons

SMART Event Redistributor and Extractor;smart-event-redistributor-extractor

SMART Event Stream Collector;smart-event-stream-collector

SMART Event Stream Processor;smart-event-stream-processor

SNMP proxy;snmp-proxy

SOM Sample Triple Play Catalog;SOM_STP_Catalog

SONET;SONET

SONET Network View;sonet-ntwk-view

SPF Performance Pack;SPF_PerformancePack

SPF Rules-based extension;SPF2NWPL

SQM Core;sqm-core

SS7 SIGTRAN;SS7_SIGTRAN

SSH Client Web Service;ssh-client-web-service

SSH Templates;ssh-templates

Sales Force Automation;sales-force-automation

Sales Management;sm

Sales Order Engine;sales-order-engine

Sales Order Engine. BAIP Extension;sales-order-engine-baip-extension

Sales Order Processing;sales-order-processing

Sales Order Quotation;sales-order-quotation

Sales Order RBM extension;sales-order-rbm-extension

Sales Order Validation;sales-order-validation

Sample OE-COM-SOM Configuration;sample-oe-com-som-configuration

Scalable Database Extension;scalable-database-extension

Scheduler Engine;scheduler-engine

Scheduler Management;Scheduler_Mgmt

Scripting;Scripting

Search;SearchEngine

Search Configuration;search-configuration

Search Index Builder;search-index-builder

Search REST API;search-rest-api

Security Commons;security-commons

Security Subsystem;Security

Self-Service Portal;self-service-portal

Server Resource Broker;server-resource-broker

Server control scripts;server-control-scripts

Service Activation Framework;SAF

Service Inventory;ServiceInventory

Service Inventory CFS/RFS Extension;ServiceInventory_CFSRFS_Extension

Service Provisioning Framework;SPF

Service Quality Monitoring;service-quality-monitoring

Single RAN Configuration;Single_RAN_Configuration

Skill Management;SkillManagement

Software and Licenses;SoftLicenses

Solution Configuration Management;SolutionConfigurationMgmt

Solution Configuration Management. Development Kit;scm-development-kit

Solution Configuration Management. Generic Model;scm-generic-model

Spatial Data Manager;spatial-data-manager

Specification Catalog GUI;specification-catalog-gui

Specification Catalog UI;specification-catalog-ui

Specification Engine;SpecificationEngine

Spring Commons;spring-commons

Static Resources Access;static-resources-access

Streaming Platform;streaming-platform

Subscriber Inventory;SubscriberInventory

Swift to ssh;swift2ssh

Synchronization Network;synchronization-network

Synchronization Network View;synchronization-network-view

System Events Dispatcher;system-events-dispatcher

System Monitor;SystemMonitor

System Monitor Configuration;system-monitor-configuration

System Monitor Console;system-monitor-console

System Monitor Metric Collectors;system-monitor-metric-collectors

System Troubleshooting Information Collector;system-troubleshooting-information-collector

TBAPI GraphQL Endpoint;tbapi-graphql-endpoint

TBAPI Services;tbapi-services

TFA Aggregation Node Application Unit;tfa-aggregation-node-au

TFA Collection Node Application Unit;tfa-collection-node-au

TFA Common;tfa-common

TFA Data Collection;tfa-data-collection

TFA Hybrid Node Application Unit;tfa-hybrid-node-au

TFA Operational UI;tfa-operational-ui

TFA Pmacct Application Unit;tfa-pmacct-au

TFA Redis Application Unit;tfa-redis-au

TUI Theme Brisk;theme-brisk

TUI Theme Cambridge;TUI_Theme_Cambridge

TUI Theme Cambridge bordered;tui-theme-cambridge-bordered

TUI Theme Classic;tui_theme_classic

TUI Theme Focused Forward;tui-theme-focused-forward

TUI Theme Harvard;TUI_Theme_Harvard

TUI Theme New York;tui_theme_newyork

Table Switcher;table-switcher

Task Assignment Rules;TAR

Taxation Management;Taxation_Mgmt

Taxation Schemes Catalog;Tax_Schemes

Telecom Business API;telecom-business-api

Telecom Cost Management;TCM

Tellabs 8000 NM Integration;Tellabs_8000_NM_Int

Template Based Document Generator;template-based-document-generator

Template Based Integration;TBIntegration

Template Based Integration OOB Adapters;TemplateBasedIntegration_OOB_Adapters

Template Based Integration. OPF Support;template-based-integartion-opf-support

Test 22.04 Product Component;testt

Textual UI;TextualUI

Textual UI Extras;TUI_Extras

Thread and Priority Management;ThreadManagement

Tracing Dependencies;tracing-dependencies

Tracing Service;tracing-service

Transport Network Mediation;transport-network-mediation

Transport Network View;transport-network-view

Trouble Ticket Management;TTM

UI Components;ui-components

UI Configuration Tool;ui-configuration-tool

UI Data Sources;ui-data-sources

UI Exception Handling;ui-exception-handling

UI Feedback;ui-feedback

UI Generalization Framework;UIGeneralization

UI Generalization Tools;UIGT

UI Localization Services;ui-localization-services

UI Macro Components;ui-macro-components

UI Message Engine;ui-message-engine

UI Message Services;ui-message-services

UI Messages Facade;ui-messages-facade

UI Model Composition Engine;ui-model-composition-engine

UI Platform;ui-platform

UI Platform utils;UIPlatformUtils

UI Plugins;UI_Plugins

UI Specific Core;UISpecificCore

UI Themes;ui-themes

UI Toolkit;ui-toolkit

UMTS;UMTS

Umbrella UI Redis;umbrella-ui-redis

Unit Testing;UnitTesting

Unroll Metamodel Plain Table;unroll-metamodel-plain-table

User Details Provider;user-details-provider

User Management;user-management

User Management UI;user-management-ui

User Task Engine;user-task-engine

User and Grants Management;user-grants-management

User and Grants Management UI;user-and-grants-management-ui

VLAN;VLAN

VLAN Management;vlan-management

VLAN Resource Provisioning;RP.VLAN

VNF License Management Client;vnf-license-management-client

VNF Lifecycle Manager;vnf-lifecycle-manager

VNF Lifecycle Manager Client;vnf-lifecycle-manager-client

VNF Management REST Client;vnf-management-rest-client

VNF Onboarding Portal;vnf-onboarding-portal

VNF Structure View;vnf-structure-view

VNFM Views;vnfm-views

VNFM Views Data Provider;vnfm-views-visualisation-provider

VPLS;VPLS

VPN ATM;VPN_ATM

VPN Frame Relay;VPN_FR

VPN IP;VPN_IP

VPN MPLS;VPN_MPLS

VPN View;vpn-view

Validation Framework;ValidationFramework

Vector Graphical Library;VGTUI

View Actions Configuration;view-actions-configuration

View Meta Model;ViewMetaModel

VoATM;VoATM

Voice;voice

Voucher Management;voucher-management

WAN. IP/MPLS/Ethernet Inventory;wan-ip-mpls-ethernet-inventory

WFM Column Chart Widget;WFMColumnWidget

WFM Dashboards;wfm-dashboards

WFM Dispatcher;WFMDispatcher

WFM Employee Calendar;EmployeeCalendar

WFM Mobile client;WFM_Mobile_client

WFM OOB Configuration;WFM_OOB

WFM Pie Chart Widget;WFMPieWidget

WFM Reports;wfm-reports

WFM Schedule Base;WFMScheduleBase

WFM. Adapter for Process Orchestrator;wfm-adapter-for-process-orchestrator

WFM. Assignment Tool;AssignmentTool

WFM. Jeopardy Management;wfm-jeopardy-management

WFM. WorkScheduler;WorkScheduler

WFM.Work Planner;WorkPlanner

WFM.Work order aggregation;WorkOrderAggregation

WFM.Work order management;WorkOrderManagement

WFM.Workforce inventory;WorkforceInventory

Wf Autodoc;WfDoc

WiMax;WIMAX

Widgets Framework;WidgetsFrm

Widgets Out Of Box;WidgetsOOB

Work Order;OMWO

Work Order Life Cycle Management;WorkOrderLCM

Work Order Structure;WorkOrderStructure

Workflow;Workflow

Workflow Service;workflow-service

Workforce Management Autotesting;WFMAutotesting

Xpath;XPath

Zabbix Monitoring;zabbix-monitoring

[Deprecated] Billing;[Deprecated] Billing

[Deprecated] Data Migration (DM Tool);DM

[NPTS Support]Test;NPTS Test

[TEST NPTS] CC;cc

[TEST NPTS] Product Component;123

[TEST NPTS] SVN;svn

[TEST NPTS] SVN for BF;aa

[TO DELETE] OPF Rule Based Extension;OPF_NWPL

[TODELETE] Phone Book American Model;PhoneBookAm

[TODELETE] Phone Book European Model;PhoneBookEuropean

[TODELETE] Power Management & Cooling;PM&Cooling

[TODELETE] Resource Order Management;ROM

[TODELETE] Software and Licenses;S&Licenses

[TODELETE]CIA: Trouble Ticketing;TTicketing

[TODELETE]Customer Impact Analysis;CIA_TODELETE

[TODELETE]Data Center Inventory;DCI

[TODELETE]GSM Bite;GSM_to_delete

[TODELETE]Legacy OSP [Wipro];LegacyOSP

[TODELETE]NC Tools Framework;NCToolsFramework

[TODELETE]Notification Framework;Notification

[TODELETE]Provisioning [LGN];ProvisioningLGN

[TODELETE]SMTP Proxy;SMTPProxy

[TODELETE]UI_Design;UI_Design

[TODELETE]VoIP;VoIP

[Test NPTS] Product Component;abbtesttnpts

[error];WFM_Mobile_client_error

db150;db150

vEPC Monitoring Configuration.Common;vepc-monitoring-configuration-common

vEPC Monitoring Configuration.Dashboards;vepc-monitoring-configuration-dashboards

vEPC Monitoring Mediation Proxy;vepc-monitoring-mediation-proxy

vNOC Main View;vnoc-main-view

vNOC View Data Provider;vnoc-view-data-provider

vNOC View Environment;vnoc-view-environment

vmWare Monitoring Configuration;vmware-monitoring-configuration

xDSL Configuration;xDSL_Configuration

xPON;xpon

xPON Views;xpon-views

yFiles for HTML Common;yfiles-html-common

